fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6
8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,6
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6
6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6
5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,6
6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6
6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,6
6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,6
6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6
7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,6
6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,6
7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6
6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6
6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6
6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6
6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6
6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,6
7.9,0.22,0.45,14.2,0.038,53,141,0.9992,3.03,0.46,9.2,6
7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,6
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6
7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6
7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6
6.5,0.22,0.72,6.8,0.042,33,168,0.9958,3.12,0.36,9.2,6
